News	Category
শেষটা থাকুক আগামীজুড়ে ছোট ছোট ভুল সমাধি দিল বড় স্বপ্নের। আশার বেলুন উড়তে উড়তে ফুটো হয়ে ঝরে পড়ল নিচে। নইলে ২০১৪ সালটা বাংলাদেশের ক্রিকেটের জন্য হতে পারত সাফল্যের পাপড়িতে সাজানো। তবে নতুন বছরে এই আক্ষেপ আর বয়ে বেড়াতে রাজি নন ক্রিকেটাররা। নতুন বছর হবে নতুন স্বপ্নে মোড়ানো, সাফল্যে রাঙানো। ২০১৫ সালে কী চান—প্রশ্নটা করলে সব ক্রিকেটার ২০১৫ সালে কী চান না, সেটাই আগে বললেন। সবার এক কথা, ‘আগের বছরের ভুলগুলো করতে চাই না।’ তামিম ইকবালকে দিয়েই শুরু করা যাক। কাল মেলবোর্ন থেকে মুঠোফোনে বলছিলেন, ‘২০১৪ সালটা আমাদের জন্য আরও অনেক ভালো যেতে পারত। কিন্তু খেয়াল করলে দেখবেন, ৫ শতাংশ বা ১০ শতাংশ ভুলের জন্য এ বছর আমরা অনেক বড় বড় সাফল্য হাতছাড়া করেছি। দল হিসেবে আগে আমাদের লক্ষ্য হওয়া উচিত এই ভুলগুলো এড়ানো।’ বিশ্বকাপের পর এ বছর পাকিস্তান, ভারত, অস্ট্রেলিয়া ও দক্ষিণ আফ্রিকার সঙ্গে সিরিজ খেলবে বাংলাদেশ। সবাই বড় প্রতিপক্ষ, তবে আগের বছরের ভুলের পুনরাবৃত্তি না ঘটলে এদের বিপক্ষেও সাফল্য আসতে পারে বলে মনে করেন তামিম, ‘এ বছর আমাদের সব খেলা বড় বড় দলের বিপক্ষে। তবে আগের ভুলগুলো না করলে তাদের বিপক্ষে জেতা অসম্ভব কিছু নয়। আর এই দলগুলোর বিপক্ষে সাফল্য পেলে বিশ্ব ক্রিকেটে আমাদের রেটিং বা র্যাঙ্কিং অনেক এগিয়ে যাবে।’ বিশ্বকাপে একটা ব্যক্তিগত লক্ষ্যও আছে তামিমের, ‘বিশ্বকাপে এখনো বাংলাদেশের কারও সেঞ্চুরি নেই, এটা দেখতে খারাপ দেখায়। আমি বিশ্বকাপে সেঞ্চুরি করতে চাই। আমি যদি নাও পারি, চাই আমাদের মধ্য থেকে কেউ একটা সেঞ্চুরি করুক।’ মাশরাফি বিন মুর্তজার দৃষ্টিতে ২০১৫ সাল হবে সাম্প্রতিক বছরগুলোর মধ্যে বাংলাদেশের ক্রিকেটের জন্য সবচেয়ে চ্যালেঞ্জিং বছর, ‘এই বছরটা অনেক চ্যালেঞ্জিং হবে আমাদের জন্য। বিশ্বকাপে যদি ভালো কিছু করতে পারি সে আত্মবিশ্বাস সারা বছরই কাজে লাগবে। কিন্তু যদি না খারাপ কিছু হয়ে যায়, সেখান থেকে বেরিয়ে আসা কঠিন হবে। কারণ এরপর আমাদের বড় বড় সিরিজ।’ তবে ভালো কিছুর জন্য ভালো খেলার সঙ্গে আরও একটা জিনিস চান বাংলাদেশের ওয়ানডে অধিনায়ক, ‘২০১৪ সাল খারাপ যাওয়ার অন্যতম কারণ ভাগ্য আমাদের সহায় ছিল না। ২০১৫ সালে ভাগ্যটাকেও পাশে চাই।’ আর ব্যক্তিগত লক্ষ্য? নতুন বছর বলুন আর নতুন সিরিজ, মাশরাফির জন্য সব সময় তা একই থাকে, ‘আমার লক্ষ্য সব সময় একই থাকে—দলের হয়ে ভালো খেলা। দলের জন্য কিছু করা।’ জিম্বাবুয়ে সিরিজে দলের বাইরে থাকা নাসির হোসেনের নতুন বছরের প্রথম লক্ষ্য জাতীয় দলে ফেরা। সেটা শেষ পর্যন্ত হোক বা না হোক, ২০১৫ সালে বাংলাদেশ দলের জন্য তাঁর শুভকামনা, ‘হারজিত পরে, এ বছর যেন অন্তত ভালো ক্রিকেট খেলতে পারি আমরা। জিম্বাবুয়ের বিপক্ষে দল যে রকম খেলেছে, সেই ধারাবাহিকতা যেন শুরু থেকে থাকে। তাহলে সাফল্য আসবেই।’ মুমিনুল হকও চান গত বছরের শেষ দৃশ্যগুলো যেন আরও বড় হয়ে ফুটে ওঠে নতুন বছরে, ‘২০১৪ সালটা খারাপ কাটলেও বছরের শেষ দিকে এসে জিম্বাবুয়ের বিপক্ষে আমরা ভালো খেলেছি। ২০১৫ সালের শুরুতেই বিশ্বকাপ এবং এই বিশ্বকাপ থেকেই আমাদের সেই ভালোর ধারাবাহিকতা ধরে রাখতে হবে।’ নতুন বছরের সিরিজগুলো বড় বড় প্রতিপক্ষের সঙ্গে হলেও সেগুলোয় বাংলাদেশ দলের ভালো খেলারই সম্ভাবনা দেখছেন মুমিনুল, ‘প্রতিপক্ষ বড় বড় হলেও এ বছর সব সিরিজই আমরা খেলব দেশের মাটিতে। এটা আমাদের জন্য বাড়তি সুবিধা। আমরা চেষ্টা করব দেশের মাটির টেস্ট সিরিজগুলোয় তাদের ওপর প্রভাব বিস্তার করতে এবং সেটা অসম্ভবও নয়।’ ব্যর্থতার বছর হলেও ২০১৪ সালের প্রাপ্তির খাতায় তাইজুল ইসলামের নামটা থাকবে ভালোভাবেই। আন্তর্জাতিক ক্রিকেটে এসেই সবাইকে চমকে দিয়েছেন এই বাঁহাতি স্পিনার। নতুন বছরে তাঁর লক্ষ্য দলকে আরও ভালো কিছু দেওয়া, ভালো কিছু চান দলের কাছ থেকেও, ‘২০১৪ সালের শেষ দিকে আমাদের মধ্যে টিম স্পিরিটটা ফিরে এসেছে। এটা ধরে রাখতে পারলে নতুন বছরেও সাফল্য আসবে।’ প্রতিটি নতুন বছরই আসে আশার ভেলায় চড়ে। কিন্তু সে আশা এবার প্রাপ্তির সৌধ গড়বে নাকি অপ্রাপ্তির সমাধি, তা জানতে অপেক্ষা করুন বছর শেষ হওয়া পর্যন্ত।	1
ফুটবলে পাওয়ার আছে অনেক ফুটবলে এর চেয়ে বেশি রোমাঞ্চের আভাস নিয়ে আসতে পারত না ২০১৫! বছরটা শুরুই হচ্ছে ঘরের মাঠে বঙ্গবন্ধু কাপের আবহসংগীত বাজিয়ে। মার্চে ঢাকাতেই অনূর্ধ্ব-২৩ এএফসি টুর্নামেন্ট। ভারতে সাফ ফুটবল দিয়ে শেষ হবে নতুন বছরের অভিযান। মাঝখানে সাত-আটটি ফিফা প্রতিযোগিতামূলক ম্যাচ খেলার সুযোগ থাকছে। বিদায়ী বছরের ঘরের মাঠে ৫টিসহ রেকর্ড ৭টি আন্তর্জাতিক প্রীতি ম্যাচ খেলেছে বাংলাদেশ। নতুন বছরটা তাই বাংলাদেশের ফুটবলে প্রত্যাশার পারদ চড়িয়ে দিচ্ছে কয়েক গুণ। ঘরোয়া আয়োজনও থাকবে। ফেডারেশন কাপ, লিগ, স্বাধীনতা কাপ, সুপার কাপ...। তবে শেষের দুটি হবে কি না বলা কঠিন। গত বছর সুপার কাপ হয়নি নানা অজুহাতে। এবার সময় কম হাতে, তার পরও ফুটবলাররা চান সব কটিই টুর্নামেন্টই খেলতে। আন্তর্জাতিক ও ঘরোয়া মিলিয়ে ব্যস্ত সময়েরই হাতছানি ফুটবলারদের সামনে। বছরটাকে স্মরণীয় করতে তাঁদের ভূমিকাই সবচেয়ে বড়। খেলোয়াড়েরা মাঠে ভালো খেললে তবেই অর্থবহ হবে ২০১৫। জাতীয় দলের অধিনায়ক মামুনুল ইসলামের উপলব্ধিতেও তা আছে পুরোপুরি। বারবার তিনি একটা কথাই বলছেন, ‘২০১৪ বেশ ভালো কেটেছে। অনেক ম্যাচ খেলছি আমরা। ধারাবাহিকতা থাকুক নতুন বছরে। তবে সত্যি হলো, আমাদের এখন রেজাল্ট করতে হবে। মাঠে খেলার আনন্দ তো আছেই, সঙ্গে ভালো ফল করলে ফুটবলে দর্শক ফিরবে। কাজেই নতুন বছরে ম্যাচে ভালো কিছু করে দেখানোই সবচেয়ে জরুরি।’ নতুন বছর বঙ্গবন্ধু কাপের আমন্ত্রণ নিয়ে এসেছে অধিনায়কের সামনে। সপ্তাহ দুয়েক পরই এটির মাঠের লড়াই। মামুনুল চান দীর্ঘপ্রত্যাশিত এই টুর্নামেন্টে বাংলাদেশকে নতুন করে তুলে ধরতে, ‘বঙ্গবন্ধু কাপ খেলতে উন্মুখ হয়ে আছি। ঘরের মাঠে এই আয়োজন স্মরণীয় করে রাখতে আমাদের ভালো কিছু করা চাই। গ্রুপের ওপর যদিও অনেক কিছু নির্ভর করবে, তবু আমি চাই ফাইনালে খেলতে।’ ফিফা র্যাঙ্কিংয়ে গত বছর বাংলাদেশ একপর্যায়ে নেমে গিয়েছিল ১৮১-তে। অবশ্য শুধু মাঠের পারফরম্যান্সে নয়। অনেকগুলো সূচক বিবেচনায় রাখে ফিফা। বছরের শেষটা অবশ্য শুরুর জায়গাতেই এসে ঠেকেছে—১৬৫। এ বছর র্যাঙ্কিংয়ে আরও উত্তরণ দেখতে উদ্গ্রীব জাতীয় দলের অপরিহার্য ডিফেন্ডার ও শেখ জামাল ধানমন্ডির অধিনায়ক নাসির উদ্দিন, ‘বেশি ম্যাচ খেললে আশা করি আমাদের ফিফা র্যাঙ্কিংয়ে উন্নতি হবে। এটা ১৫০ বা তারও নিচে নামিয়ে আনার স্বপ্ন দেখি। মাঠে ভালো করলে সেটির প্রভাব র্যাঙ্কিংয়ে পড়বেই। সেটা মাথার রাখব।’ বছরের সবচেয়ে বড় চ্যালেঞ্জের নাম সাফ ফুটবল। ২০০৩ সালের পর ‘দক্ষিণ এশিয়ার বিশ্বকাপের’ শিরোপা অধরাটা বাংলাদেশের কাছে। এ বছর সেই ট্রফি ঘরে তুলতে চান স্ট্রাইকার জাহিদ হাসান এমিলি। কখনো সাফ ফুটবল জেতেননি, এমিলির নিজের কাছেও তাই এই শিরোপার আকাঙ্ক্ষা অনেক বেশি, ‘সাফ ফুটবলে আমাদের চ্যাম্পিয়ন হতেই হবে। তাতে অবদান রাখতে চাই। সব খেলোয়াড়ের কাছেই এটা অনেক বড় চ্যালেঞ্জ। আশা করব, সাফের প্রতি নজরটা একটু বেশি দেওয়া হবে।’ ঘরোয়া প্রতিযোগিতার দিকেও মনোযোগ রাখা আবশ্যক মনে করছেন আরেক স্ট্রাইকার মিঠুন চৌধুরী। সাম্প্রতিক সময়ে আন্তর্জাতিক প্রতিযোগিতার ওপর বেশি জোর দিতে যাওয়ায় ঘরোয়া খেলাটা আড়ালেই ঢাকা পড়েছে। মিঠুন বলছেন, ‘ঘরোয়া কাঠামো শক্তিশালী হলেই আন্তর্জাতিক ম্যাচে ভালো করা সম্ভব। নতুন বছরে সব জেলা লিগ, ঢাকার সব লিগ, একাডেমির কার্যক্রমে গতি আসুক এটাই চাইব।’ সব ঠিকঠাক এগোলে নতুন বছর বাংলাদেশের ফুটবল রাঙাতে পারে সাফ ট্রফির আলোয়।	1
নিজেকে ছাপিয়ে যাওয়ার প্রত্যয় কেউ চান নিজেকে আরও উঁচুতে তুলে ধরতে; কারও কণ্ঠে বিদায়ী বছরের অপ্রাপ্তি মুছে নতুন শুরুর প্রত্যয়। সবার চাওয়া এক বিন্দুতে মিলে গেলে ক্রিকেট, ফুটবলের বাইরে বাংলাদেশের বাকি ক্রীড়াঙ্গনের ছবিটা উজ্জ্বলই হওয়ার কথা ২০১৫ সালে। সেই ঔজ্জ্বল্য সবচেয়ে বেশি ছড়াতে পারেন সিদ্দিকুর রহমান। গত বছরে নানা কারণে সেরা ছন্দে ছিলেন না এই গলফার। নতুন বছরে তাঁর প্রথম চাওয়া, ‘পুরোপুরি ফিট হয়ে খেলতে চাই’। দুটি পেশাদার শিরোপাজয়ী সিদ্দিকুরের কাছে ক্রীড়াঙ্গনের চাওয়া আরও বেশি। তাঁর হাতে তৃতীয় শিরোপা এ বছরই দেখতে চান সবাই। নতুন বছরের শুরুতে সিদ্দিকুর অবশ্য এগোতে চান নিজেকে গুছিয়ে নিয়ে, ‘ভালো করার চেষ্টা সব সময়ই থাকে। এ বছরও থাকবে। সাফল্য তাতে ধরা দেবে আশা করি। তবে তাহাহুড়ো নয়। আগে আমাকে শারীরিকভাবে এক শ ভাগ তৈরি হতে হবে।’ গত বছরে আলো কেড়েছিলেন শ্যুটার আবদুল্লাহ হেল বাকি। কমনওয়েলথ গেমসে ১০ মিটার এয়ার রাইফেলে রুপা জয় তাঁর কাছেও প্রত্যাশা বাড়িয়েছে নতুন বছরে। সেটি ধরে রাখতে চান নিজেও,‘ আমি চাই নতুন বছরে যেন টানা অনুশীলনের সুযোগ পাই। কোরিয়ার বিশ্বকাপসহ দুটি টুর্নামেন্ট আছে। সেগুলোতে নিজেকে ছাপিয়ে সেরা স্কোর করার লক্ষ্য আছে। শ্যুটিংয়ে সুযোগ-সুবিধা বাড়ার প্রত্যাশাও রাখছি।’ দেশের দ্রুততম মানব মেজবাহ আহমেদের চাওয়া, ‘টাইমিংয়ে উন্নতি করতে চাই। জাতীয় মিট, এপ্রিলে ইন্দো-বাংলা গেমস, এসএ গেমস যদি ভারত আয়োজন করে, তাতেও ভালো টাইমিং করে বছরটাকে স্মরণীয় করার স্বপ্ন দেখি।’ এসএ গেমস এ বছরও হবে কি না সংশয় আছে। তবে দেশসেরা সাঁতারু মাহফিজুর রহমান সাগর তাকিয়ে সেদিকেই, ‘এসএ গেমস হলে সোনা জিততে চাই। ইন্দো-বাংলায়ও একই লক্ষ্য। সামগ্রিকভাবে চাইব দেশের সাঁতারে নিয়মিত প্রশিক্ষণ কার্যক্রম যেন চালু থাকে।’ নতুন বছরের শুরুতেই বিশ্ব হকি লিগের দ্বিতীয় রাউন্ড। হকি দলের অধিনায়ক মামুনুর রহমান চয়ন আপাতত চোখ রাখছেন সেটিতেই। তবে সামগ্রিকভাবে তাঁর চাওয়া, ‘সব আন্তর্জাতিক প্রতিযোগিতায় ভালো করতে চাই আমরা। ঘরোয়া হকি যেন মাঠে থাকে সেটাও চাইব।’ খুব কল্পনাবিলাসী চাওয়া নয় কোনোটিই। পূরণ হওয়া কি খুব কঠিন?	1
ক্রীড়াসূচি ২০১৫ বিশ্বকাপ ক্রিকেট ১৪ ফেব্রুয়ারি-২৯ মার্চ অস্ট্রেলিয়া ও নিউজিল্যান্ড চ্যাম্পিয়নস লিগ ফাইনাল ৬ জুন বার্লিন, জার্মানি কোপা আমেরিকা ১১ জুন-৪ জুলাই চিলি এশিয়ান কাপ ফুটবল ৯-৩১ জানুয়ারি অস্ট্রেলিয়া আফ্রিকান নেশনস কাপ ১৭ জানুয়ারি-৮ ফেব্রুয়ারি ইকুয়েটোরিয়াল গিনি মেয়েদের বিশ্বকাপ ফুটবল ৬ জুন-৬ জুলাই কানাডা ফিফা–ব্যালন ডি’অর ১২ জানুয়ারি (জুরিখ, সুইজারল্যান্ড) বিশ্বকাপ হ্যান্ডবল (পুরুষ) ১৫ জানুয়ারি-১ ফেব্রুয়ারি (দোহা, কাতার) অস্ট্রেলিয়ান ওপেন টেনিস ১৯ জানুয়ারি-১ ফেব্রুয়ারি (মেলবোর্ন, অস্ট্রেলিয়া) ফ্রেঞ্চ ওপেন টেনিস ২৪ মে-৭ জুন (প্যারিস, ফ্রান্স) ফিফা প্রেসিডেন্ট নির্বাচন ২৯ মে (জুরিখ, সুইজারল্যান্ড) ফিফা অনূর্ধ্ব-২০ বিশ্বকাপ ৩০ মে-২০ জুন (নিউজিল্যান্ড) উইম্বলডন টেনিস ২৯ জুন-১২ জুলাই (লন্ডন, ইংল্যান্ড) সাইক্লিং: ট্যুর ডি ফ্রান্স ৪-২৬ জুলাই (ফ্রান্স) কনক্যাকাফ গোল্ডকাপ ফুটবল ৭-২৬ জুলাই (যুক্তরাষ্ট্র) সাঁতার বিশ্ব চ্যাম্পিয়নশিপ ২৪ জুলাই-৯ আগস্ট (কাজান, রাশিয়া) ২০১৮ বিশ্বকাপ ফুটবল বাছাইপর্বের ড্র ২৫ জুলাই (সেন্ট পিটার্সবার্গ, রাশিয়া) অ্যাথলেটিকস বিশ্ব চ্যাম্পিয়নশিপ ২২-৩০ আগস্ট (বেইজিং, চীন) যুক্তরাষ্ট্র ওপেন টেনিস ৩১ আগস্ট-১৩ সেপ্টেম্বর (নিউইয়র্ক, যুক্তরাষ্ট্র) ফিফা অনূর্ধ্ব-১৭ বিশ্বকাপ ১৭ অক্টোবর-৮ নভেম্বর (চিলি) এটিপি ওয়ার্ল্ড ট্যুর ফাইনালস ১৫-২২ নভেম্বর (লন্ডন, ইংল্যান্ড) ২০১৬ ইউরো ড্র ১২ ডিসেম্বর (প্যারিস, ফ্রান্স)	1
তামিমের এক মাসের অপেক্ষা সব ঠিকঠাক থাকলে তামিম ইকবাল খেলার ফিটনেস ফিরে পাবেন এক মাসের মধ্যেই। কাল মেলবোর্ন থেকে টেলিফোনে তামিমই দিয়েছেন সুসংবাদটা। ‘এখন হাঁটাহাঁটি করতে পারছি। ডা. ডেভিড ইয়াং আমাকে বলেছেন, চার সপ্তাহ পর চাইলে খেলায়ও ফিরতে পারব। এই সময়ের মধ্যে ম্যাচ ফিটনেস ফিরে পাব আমি’—মুঠোফোনে বলেছেন বাংলাদেশ দলের বাঁহাতি ওপেনার। গত সোমবার মেলবোর্নের অ্যাভিনিউ হাসপাতালে তামিমের বাঁ হাঁটুতে অস্ত্রোপচার করেন ডেভিড ইয়াং। অস্ত্রোপচারে মিনিসকাসের সমস্যা দূর হলেও এখনই দেশে ফেরা হচ্ছে না তামিমের। আগামী দুই সপ্তাহ অস্ট্রেলিয়াতেই চলবে পুনর্বাসন প্রক্রিয়া। তামিমই জানালেন, ‘এই দুই সপ্তাহ চিকিৎসার পাশাপাশি ট্রেনিং, সাইক্লিং এসবও চলবে। তবে এক সপ্তাহ পর ডেভিড ইয়াংয়ের সঙ্গে আবার দেখা করব।’ দেশে ফেরার সময়টাও তখনই ঠিক হতে পারে বলে জানিয়েছেন তিনি।	1
কাতারে রুপা জিতলেন সাবিরা কাতার ইন্টারন্যাশনাল কাপ ও গ্রাঁ প্রি ভারোত্তোলনে বাংলাদেশকে সাফল্য এনে দিলেন মোল্লা সাবিরা সুলতানা। দোহায় কাল ৫৩ কেজি ওজন শ্রেণিতে রুপা জিতেছেন তিনি। এর আগে আন্তর্জাতিক অঙ্গনে বেশ কয়েকটি পদক জিতেছেন এই ভারোত্তোলক। দোহা থেকে বাংলাদেশ দলের এক সদস্য জানিয়েছেন, বাংলাদেশের আরেক প্রতিযোগী মাবিয়া আক্তার আজ খেলবেন ৪৪ কেজিতে। প্রতিযোগিতায় অংশ নিচ্ছে ৩৬টি দেশ।	1
শিকারি ইব্রা ফুটবলার জ্লাতান ইব্রাহিমোভিচকে সবাই জানেন। কিন্তু শিকারি ইব্রাকে? বন্দুক হাতেও দুর্দান্ত পিএসজি স্ট্রাইকার। বড়দিনের ছুটি কাটাতে সুইডেনের দেশের বাড়িতে গিয়েছিলেন। সেখানে এক গুলিতেই শিকার করেছেন একটি চমরী গাই। গুলি প্রাণীটির হৃৎপিণ্ড ফুটো করে দেয়। শিকারি হিসেবে নিজের প্রতিভায় ‘খুব খুশি’ ইব্রা। কিন্তু নাখোশ প্রাণী অধিকার রক্ষায় সক্রিয় সংগঠনগুলোর কর্মীরা। কারণও আছে। গত বছরের শুরুর দিকে ভলভোর এক বিজ্ঞাপনে চমরী গাইয়ের দিকে বন্দুক তাক করে ধরে রাখতে দেখা যায় তাঁকে। তখন থেকেই এই বন্য প্রাণী রক্ষায় সক্রিয় সংগঠনগুলো অখুশি ইব্রার ওপর। ওই বিজ্ঞাপন নিয়ে হইচই পড়ে যায় দেশটিতে। এবার সত্যি সত্যিই ৫০০ কেজি ওজনের এক চমরী গাই শিকার করেছেন সম্প্রতি। আর নিস্তার নেই, পশুপ্রেমী সংগঠনগুলো তাঁর ওপর ঝাঁপিয়ে পড়ল বলে! আইএএনএস।	1
কোহলির ‘বউ’ চুপি চুপি অভিসারপর্ব শেষ। মাস খানেক আগে থেকেই প্রকাশ্যে একত্রে চলার শুরু। কিন্তু এখনো বিয়েটা হয়নি। বলা হচ্ছে বিরাট কোহলি এবং তাঁর বাগদত্তা আনুশকা শর্মার কথা। কিন্তু এদিন তাঁদের স্বামী-স্ত্রী বানিয়ে দিলেন অস্ট্রেলিয়ার সাবেক ক্রিকেটার মাইকেল স্ল্যাটার! মেলবোর্ন টেস্টের শেষ দিনে পুরস্কার বিতরণী অনুষ্ঠানের উপস্থাপক হিসেবে এই ভুল করে বসেন স্ল্যাটার। বলিউড অভিনেত্রী আনুশকা শর্মাকে পরিচয় করিয়ে দেন কোহলির ‘বউ’ বলে। পরে অবশ্য নিজের ভুল বুঝতে পারেন স্ল্যাটার। দ্রুতই সংশোধন করে বলেন কোহলির বাগদত্তা। মেলবোর্নে টেস্ট চলাকালে যেভাবে গ্যালারিতে ছায়া হয়ে আনুশকা অনুসরণ করেছেন কোহলিকে, তাতে স্ল্যাটার কেন, অন্য যে কেউই তাঁকে ভারতের নতুন টেস্ট অধিনায়কের বউ মনে করতে পারেন! আইএএনএস।	1
বেবুন বেবুন তাড়া করেছিল বিশ্বের সাবেক এক নম্বর গলফার লুক ডোনাল্ডকে। গত মাসে দক্ষিণ আফ্রিকার নেডব্যাংক চ্যালেঞ্জ গলফ টুর্নামেন্টটা তাই বন্ধ ছিল কিছু সময়ের জন্য।	1
কোহলি–যুগের শুরু কোনো সংবাদ সম্মেলন নয়, নেই কোনো আবেগময় বক্তৃতাও। এই প্রচারের যুগে সতীর্থদের কাঁধে চড়ে বর্ণিল বিদায়ের লোভটাও সামলেছেন কী অবলীলায়! টেস্ট ক্রিকেট থেকে মহেন্দ্র সিং ধোনির অবসরের ঘোষণা তাই যেমন আকস্মিক, তেমনি রহস্যময়ও। যে রহস্য আর তাঁর হঠাৎ বিদায়ের ধাক্কা নিয়েই শুরু হচ্ছে ভারতের টেস্ট ক্রিকেটে বিরাট কোহলি-যুগ। পরিসংখ্যানে ধোনি ভারতের সবচেয়ে সফল টেস্ট অধিনায়ক। কিন্তু ইদানীং পাঁচ দিনের ক্রিকেটে তাঁর নেতৃত্ব ভীষণভাবেই প্রশ্নবিদ্ধ হচ্ছিল। উদ্ভাবনী সিদ্ধান্তের অভাব, রক্ষণাত্মক মনোভাব একঘেয়ে হয়ে উঠেছিল অনেকের কাছে। বিপরীতে কোহলির সাহসী নেতৃত্ব আশা দেখাচ্ছিল ভারতীয়দের। প্রত্যাশার একটু আগেই কোহলির হাতে পাকাপাকি অধিনায়কত্ব চলে আসায় তাই ভারতীয় ক্রিকেটে একটা নতুন যুগের সূচনাও দেখছেন অনেকে। সেই অনেকের মধ্যে আছেন বিদেশের মাঠে ভারতের সবচেয়ে সফল অধিনায়ক সৌরভ গাঙ্গুলীও। দারুণ আক্রমণাত্মক মনোভাব দিয়ে সৌরভ বদলে দিয়েছিলেন ভারতীয় ক্রিকেটকেই। কোহলির মধ্যেও যেন নিজের ছায়াটাই দেখছেন সৌরভ, ‘ওর মানসিকতাটাই আমার ভালো লাগে। ও যেভাবে ক্রিকেটকে দেখে সেটাই আমার পছন্দ।’ চোটের কারণে সিরিজের প্রথম টেস্টে খেলতে পারেননি ধোনি। মেলবোর্নে ভারতের সিরিজ হার নিশ্চিত হয়ে যাওয়ার পর যখন বিদায় বললেন, সিডনিতে শেষ টেস্টটা কিন্তু বাকি। এভাবে সিরিজের মাঝপথে দলে যোগ দিয়ে আবার সিরিজ শেষের আগেই বিদায় বলে দেওয়ায় কিছুটা বিস্মিত কিংবদন্তি সুনীল গাভাস্কারও। তবে উত্তরসূরি হিসেবে কোহলিকে নিয়ে বেশ আশাবাদী তিনি, ‘কোহলি এরই মধ্যে দেশকে নেতৃত্ব দিয়েছে৷ দায়িত্বভার ওর ওপর প্রভাব ফেলেনি৷ ভারতীয় ক্রিকেটে শুধু নতুন বছর আসছে তাই নয়, কোহলির অধিনায়কত্বে নতুন যুগের সূচনা হচ্ছে৷ আশা করব, আমরা এগিয়ে যাব৷ শুধু প্রতিপক্ষের সম্মান আদায় করা নয়, ম্যাচও জিতব৷’ কোহলি যে শুধু সম্মান আদায় করেছেন তা নয়, এই সিরিজেই বারবার বাগ্যুদ্ধে জড়িয়ে অস্ট্রেলিয়ার সবচেয়ে বড় শত্রুতেও পরিণত হয়েছেন। বিশেষ করে মিচেল জনসনের সঙ্গে মাঠে তাঁর কথার লড়াই যেন সিরিজটির নিয়মিত দৃশ্য। মেলবোর্নে বাগ্যুদ্ধে জড়িয়েছেন ব্র্যাড হাডিনের সঙ্গেও। অধিনায়ক হওয়ায় সন্দেহ নেই, এখন তিনি অস্ট্রেলিয়ানদের আরও বড় লক্ষ্যবস্তুতে পরিণত হয়েছেন। অস্ট্রেলিয়া কোচ ড্যারেন লেম্যান তো রসিকতা করে এরই মধ্যে বলে দিয়েছেন, ‘কোহলির সঙ্গে আমরা তো এখনো কিছু শুরুই করিনি!’ কোহলির এই আগ্রাসী মনোভাবকে ইতিবাচক দেখেছেন আরেক সাবেক ভারতীয় অধিনায়ক রাহুল দ্রাবিড়ও। তবে অধিনায়ক হওয়ায় কোহলির কাছ থেকে দায়িত্বশীল আচরণও আশা করেন ভারতীয় ব্যাটিংয়ের বিগত দিনের ‘দেয়াল’, ‘এই আক্রমণাত্মক মনোভাবটা হয়তো তার কাজে দেবে। তবে আমার মনে হয় কিছুদিন গেলে সে এটাও বুঝতে পারবে যে, দলে অন্য অনেকেই আছে যারা সবাই একই মানসিকতার নয়। সাফল্যের অন্য পথটাও তাই তার খুঁজে নিতে হবে। কোনো পথই সঠিক কিংবা ভুল নয়। শুধু আলাদা পথ, এই যা। তাকে সবার জন্য পরিবেশ তৈরি করে দিতে হবে।’ ক্রিকইনফো, এএফপি, আইএএনএস।	1
